epoch,loss_all_mean,loss_all_min,loss_all_max
0,0.32440293,0.24441661,0.735247
1,0.27774313,0.24309689,0.32090282
2,0.27631563,0.23859946,0.31303117
3,0.27564102,0.2379838,0.31322306
4,0.2730194,0.23951042,0.31177938
-4,0.26584342,0.23925398,0.29379377
5,0.2605999,0.23038712,0.29337335
6,0.23365238,0.18492849,0.2754377
7,0.18948789,0.15472081,0.24397421
8,0.17360185,0.14792377,0.23667184
9,0.15947255,0.13517524,0.1852388
-9,0.15207045,0.1368964,0.17784321
10,0.14053503,0.116658546,0.17762639
11,0.12782866,0.10433429,0.15513252
12,0.111965016,0.09767415,0.1366285
13,0.10829233,0.09118789,0.12910253
14,0.11633714,0.08437422,0.18224178
-14,0.12002381,0.108832695,0.1337974
15,0.11153214,0.09330813,0.13829918
16,0.10626584,0.09082833,0.1268202
17,0.10177781,0.09207134,0.13069984
18,0.095149696,0.08421972,0.12324946
19,0.094526306,0.0795123,0.11496676
-19,0.09563915,0.08229901,0.11175821
20,0.090057,0.07198727,0.1186883
21,0.0919663,0.07785164,0.11259189
22,0.08425466,0.07161209,0.101151556
23,0.08441013,0.07224392,0.10366598
24,0.086535,0.07489662,0.1066517
-24,0.08907279,0.07604831,0.10337394
25,0.08129186,0.06817308,0.09576239
26,0.08765928,0.06900071,0.111704744
27,0.08934918,0.07590367,0.10500809
28,0.07451104,0.06298386,0.0908231
29,0.07096461,0.06282182,0.083271176
-29,0.08177743,0.0713652,0.09417887
30,0.073473394,0.057781238,0.0964229
31,0.07437228,0.06588348,0.093297884
32,0.07392497,0.06163445,0.09331144
33,0.065623604,0.058400024,0.081721716
34,0.06795704,0.05668132,0.08612953
-34,0.07117737,0.064069614,0.078522556
35,0.06235575,0.054528516,0.08043758
36,0.063432686,0.056878135,0.075040415
37,0.063386396,0.055537533,0.07419593
38,0.06273359,0.054174658,0.07333075
39,0.05880008,0.050390877,0.07312414
-39,0.07016959,0.064468436,0.075442
40,0.057526123,0.050517745,0.06349061
41,0.05523882,0.047606815,0.0616804
42,0.05525127,0.05043287,0.06560818
43,0.054219507,0.048145637,0.06351783
44,0.05836158,0.049659673,0.067723505
-44,0.066395774,0.059749026,0.07363487
45,0.056327753,0.04704033,0.07224435
46,0.05072562,0.046890814,0.059464194
47,0.049435455,0.045554254,0.059727322
48,0.04844166,0.040453456,0.056472093
49,0.044675477,0.0387301,0.047950752
-49,0.05660258,0.052045498,0.06303987
50,0.046754636,0.03797836,0.054695334
51,0.047760308,0.039259814,0.066179
52,0.049990155,0.036727842,0.06513452
53,0.048537903,0.04183664,0.05633462
54,0.046603553,0.039557125,0.054740198
-54,0.055873167,0.054521,0.05708918
55,0.046849575,0.03710725,0.056218278
56,0.04250124,0.03826465,0.051498055
57,0.042455047,0.035898864,0.04803757
58,0.042515002,0.034917742,0.05327991
59,0.044243135,0.03541319,0.05601036
-59,0.05352069,0.051090512,0.056261227
60,0.05191047,0.03911178,0.072754964
61,0.04899171,0.036496412,0.061757486
62,0.04931312,0.038209908,0.06356112
63,0.042197414,0.030951345,0.051466573
64,0.03978706,0.033820685,0.045803845
-64,0.05380374,0.045571975,0.06620529
65,0.041681103,0.034162786,0.04861266
66,0.037536286,0.032306843,0.04645058
67,0.037424557,0.03186256,0.043029357
68,0.036829166,0.030915821,0.04755594
69,0.03769838,0.027689354,0.049297255
-69,0.04627837,0.042996455,0.04998252
70,0.034365606,0.028058961,0.045423742
71,0.03272273,0.026639774,0.044118006
72,0.03431029,0.02470798,0.042214286
73,0.03536293,0.02956522,0.04300983
74,0.035620034,0.027209857,0.048118185
-74,0.04528126,0.04460221,0.046481293
75,0.031295646,0.027744818,0.038453523
76,0.03473394,0.025127871,0.042512562
77,0.03206565,0.02489478,0.041170135
78,0.03254308,0.026014468,0.04278262
79,0.03225405,0.027424602,0.040557723
-79,0.039537076,0.037905987,0.041895445
80,0.033883095,0.026686627,0.041861076
81,0.031218013,0.027326498,0.03708825
82,0.033317555,0.023896195,0.04988431
83,0.03182169,0.025442174,0.036315832
84,0.031962972,0.025768984,0.040180054
-84,0.037844215,0.033477064,0.04339786
85,0.031720094,0.024979822,0.04423494
86,0.032411568,0.024816612,0.049458906
87,0.030948792,0.026383573,0.041490655
88,0.026069973,0.020398716,0.03377505
89,0.028196182,0.018607086,0.035680205
-89,0.03795835,0.03421353,0.045277175
90,0.034358915,0.022931747,0.05164618
91,0.036520313,0.026365135,0.046848577
92,0.030270016,0.023246793,0.040362533
93,0.025548566,0.020001577,0.032632645
94,0.03200804,0.023395846,0.04500162
-94,0.037594892,0.034086693,0.041690327
95,0.028368527,0.020289553,0.03666708
96,0.030285755,0.02436753,0.03948651
97,0.025077324,0.020571196,0.03086871
98,0.028661177,0.020673212,0.0364158
99,0.026400069,0.019749183,0.03208203
-99,0.039960403,0.03887281,0.040963866
100,0.026746502,0.019975876,0.031876344
101,0.02701902,0.019518223,0.038789313
102,0.02522401,0.020386383,0.031487625
103,0.023691177,0.018174341,0.030034285
104,0.023890201,0.01662551,0.034477167
-104,0.03249949,0.028636845,0.03519538
105,0.024400413,0.019324211,0.03592147
106,0.025289547,0.020308012,0.029990453
107,0.031850617,0.021680819,0.040581454
108,0.028524578,0.018731747,0.042117815
109,0.020849377,0.018335178,0.026740387
-109,0.030592814,0.02818237,0.034235995
110,0.022577533,0.017764866,0.028268017
111,0.022602709,0.01847036,0.028229887
112,0.02204929,0.017241675,0.030870462
113,0.02634564,0.02016791,0.030767618
114,0.023034224,0.01916861,0.027902268
-114,0.03144712,0.028889447,0.034264226
115,0.022872005,0.016467122,0.032171287
116,0.021131936,0.015438819,0.027753033
117,0.02516757,0.017408842,0.03719401
118,0.032045446,0.021806061,0.043345053
119,0.029603416,0.019613642,0.03785159
-119,0.036320698,0.0358644,0.03720653
120,0.027001794,0.018558702,0.04510833
121,0.02012524,0.014800535,0.025401728
122,0.023594769,0.015375411,0.031863
123,0.020103186,0.015945068,0.023536088
124,0.020061316,0.015105443,0.03126936
-124,0.032881666,0.031186715,0.03456907
125,0.027847612,0.017516568,0.0403742
126,0.025068453,0.018501768,0.039909624
127,0.021990668,0.016947625,0.02717523
128,0.02247811,0.016307697,0.028406328
129,0.020343188,0.01615668,0.023782922
-129,0.028731158,0.025900362,0.030593721
130,0.020105537,0.01693852,0.022658808
131,0.020936703,0.017356638,0.026288273
132,0.020867715,0.016020348,0.025676114
133,0.020098496,0.015288781,0.027736222
134,0.020503284,0.016010169,0.025562383
-134,0.027784096,0.025824936,0.03107517
135,0.021424148,0.01681622,0.030590868
136,0.01792803,0.012367182,0.024916042
137,0.019145139,0.012655939,0.026376884
138,0.017882714,0.014773133,0.021914447
139,0.018392239,0.013575365,0.024720557
-139,0.026189564,0.022132719,0.031164445
140,0.019099269,0.014433865,0.023808032
141,0.017775958,0.013550091,0.022263158
142,0.023437034,0.018103294,0.033735014
143,0.019808872,0.014373384,0.02455741
144,0.015720008,0.01232604,0.019518998
-144,0.022225434,0.020934507,0.023916116
145,0.015628858,0.011545595,0.02219238
146,0.019242978,0.015535387,0.022725347
147,0.019350812,0.013807217,0.025190733
148,0.018357698,0.013896825,0.023875542
149,0.01680094,0.013335388,0.023866817
-149,0.021577546,0.017793206,0.025434453
150,0.016558904,0.013016138,0.021684397
151,0.020029034,0.013952114,0.028785829
152,0.019404065,0.015051363,0.024981473
153,0.019456485,0.015716285,0.025597708
154,0.017398376,0.013040086,0.022038877
-154,0.024967074,0.02082392,0.029321656
155,0.016890233,0.013954974,0.02139643
156,0.019390771,0.013223368,0.025503518
157,0.016467841,0.011947342,0.020805996
158,0.016787114,0.012444206,0.022985829
159,0.016759254,0.0130572915,0.021909833
-159,0.026400326,0.023635997,0.0308539
